app_name,repo,electron_version,date_accessed,access_type,vulnerable_cve_2023_4863,vulnerable_cve_2023_5217
1Clipboard,https://github.com/wiziple/1clipboard,,,programmatic,unknown,unknown
1Password,,25.8.1,,programmatic,patched,unknown
3CX Desktop App,,19.0.8,,programmatic,vulnerable,unknown
5EClient,,,,programmatic,unknown,unknown
Abstract,,,,programmatic,unknown,unknown
Account Surfer,,,,programmatic,unknown,unknown
Advanced REST Client,https://github.com/advanced-rest-client/arc-electron,^17.0.0,2023-10-02 22:09:39-0700,programmatic,vulnerable,vulnerable
Aedron Shrine,,,,programmatic,unknown,unknown
Aeon,https://github.com/leinelissen/aeon,23.2.0,2023-10-02 22:09:40-0700,programmatic,vulnerable,vulnerable
Aether,https://github.com/aethereans/aether-app,,,programmatic,unknown,unknown
Agora Flat,https://github.com/netless-io/flat,,2023-10-02 22:09:43-0700,programmatic,unknown,unknown
Aipo.com,,,,programmatic,unknown,unknown
Airtame,,,,programmatic,unknown,unknown
Altair GraphQL Client,https://github.com/imolorhe/altair,,2023-10-02 22:09:44-0700,programmatic,unknown,unknown
Amialive,,,,programmatic,unknown,unknown
AnotherRedisDesktopManager,,,,programmatic,unknown,unknown
Antares,https://github.com/Fabio286/antares,~22.3.23,2023-10-02 22:09:46-0700,programmatic,vulnerable,vulnerable
Appium Desktop,https://github.com/appium/appium-desktop,^10.0,2023-10-02 22:09:47-0700,programmatic,vulnerable,vulnerable
Arena,,,,programmatic,unknown,unknown
Asana,,,,programmatic,unknown,unknown
Assessment Disaggregation,https://github.com/tazzben/Assessment-Disaggregation.git,^25.8.1,2023-10-02 22:09:48-0700,programmatic,patched,vulnerable
Assetizr,,,,programmatic,unknown,unknown
AstroPrint Desktop,,,,programmatic,unknown,unknown
Atom,https://github.com/atom/atom,,2023-10-02 22:09:50-0700,programmatic,unknown,unknown
Authy,,16.2.8,,programmatic,vulnerable,unknown
Barklarm,https://github.com/kanekotic/barklarm,25.3.2,2023-10-02 22:09:51-0700,programmatic,vulnerable,vulnerable
Basecamp 3,,,,programmatic,unknown,unknown
Bdash,,,,programmatic,unknown,unknown
Beaker Browser,https://github.com/beakerbrowser/beaker,,,programmatic,unknown,unknown
Beekeeper Studio,https://github.com/beekeeper-studio/beekeeper-studio,,2023-10-02 22:09:55-0700,programmatic,unknown,unknown
Believers Sword,https://github.com/Bible-Projects/believers-sword-app,^19.0.0,2023-10-02 22:09:56-0700,programmatic,vulnerable,vulnerable
bibisco,https://github.com/andreafeccomandi/bibisco/,,,programmatic,unknown,unknown
Biscuit,,,,programmatic,unknown,unknown
Blockbench,https://github.com/JannisX11/blockbench,^25.7.0,2023-10-02 22:09:59-0700,programmatic,vulnerable,vulnerable
Boost Changer,,,,programmatic,unknown,unknown
Bootstrap Studio,,,,programmatic,unknown,unknown
BoxHero,https://github.com/bgpworks/boxhero-electron,23.0.0,2023-10-02 22:10:00-0700,programmatic,vulnerable,vulnerable
Boxy SVG,,,,programmatic,unknown,unknown
Brim,https://github.com/brimsec/brim,,2023-10-02 22:10:02-0700,programmatic,unknown,unknown
